STATE_NAME_2011,SSC_NAME_2011,POA_CODE_2011,"POA_NAME_2011 (contains notes, see bottom)"
New South Wales,Goulburn,2580,2580
New South Wales,Run-o-Waters,2580,2580
New South Wales,Crookwell,2583,2583
New South Wales,Marulan,2579,2579
New South Wales,Tallong,2579,2579
New South Wales,Laggan,2583,2583
New South Wales,Binda,2583,2583
New South Wales,Bigga,2583,2583
New South Wales,Tuena,2583,2583
New South Wales,Myrtleville,2580,2580
New South Wales,Grabben Gullen,2583,2583
New South Wales,Bannister (NSW),2580,2580
New South Wales,Towrang,2580,2580
New South Wales,Bungonia,2580,2580
New South Wales,Windellama,2580,2580
New South Wales,Breadalbane (NSW),2581,2581
New South Wales,Middle Arm,2580,2580
New South Wales,Baw Baw (NSW),2580,2580
New South Wales,Gundary,2580,2580
New South Wales,Quialigo,2580,2580
New South Wales,Collector,2581,2581
New South Wales,Parkesbourne,2580,2580
New South Wales,Brisbane Grove,2580,2580
New South Wales,Taralga,2580,2580
New South Wales,Bannaby,2580,2580
New South Wales,Wombeyan Caves,2580,2580
New South Wales,Yass,2582,2582
New South Wales,Gunning,2581,2581
New South Wales,Dalton,2581,2581
New South Wales,Murrumbateman,2582,2582
New South Wales,Nanima,2618,2618 crosses NSW/ACT
New South Wales,Jeir,2582,2582
New South Wales,Rye Park,2586,2586
New South Wales,Gundaroo,2620,2620 crosses NSW/ACT
New South Wales,Springrange,2618,2618 crosses NSW/ACT
New South Wales,Good Hope,2582,2582
New South Wales,Binalong,2584,2584
New South Wales,Bowning,2582,2582
New South Wales,Broadway,2581,2581
New South Wales,Jugiong,2726,2726
New South Wales,Bookham,2582,2582
New South Wales,Wallaroo (NSW),2618,2618 crosses NSW/ACT
New South Wales,Lade Vale,2581,2581
New South Wales,Sutton (NSW),2620,2620 crosses NSW/ACT
New South Wales,Wee Jasper,2582,2582
New South Wales,Yass River,2582,2582
New South Wales,Marchmont,2582,2582
New South Wales,Young,2594,2594
New South Wales,Burrangong,2594,2594
New South Wales,Boorowa,2586,2586
New South Wales,Harden,2587,2587
New South Wales,Murrumburrah,2587,2587
New South Wales,Wombat,2587,2587
New South Wales,Koorawatha,2807,2807
New South Wales,Bendick Murrell,2803,2803
New South Wales,Monteagle,2594,2594
New South Wales,Memagong,2594,2594
New South Wales,Bribbaree,2594,2594
New South Wales,Godfreys Creek,2586,2586
New South Wales,Frogmore,2586,2586
New South Wales,Kingsvale,2587,2587
New South Wales,Galong,2585,2585
New South Wales,Murringo,2586,2586
New South Wales,Lower Boro,2580,2580
New South Wales,Braidwood,2622,2622
New South Wales,Majors Creek (NSW),2622,2622
New South Wales,Araluen (NSW),2622,2622
New South Wales,Harolds Cross,2622,2622
New South Wales,Warri,2622,2622
New South Wales,Nerriga,2622,2622
New South Wales,Karabar,2620,2620 crosses NSW/ACT
New South Wales,Queanbeyan,2620,2620 crosses NSW/ACT
New South Wales,Crestwood,2620,2620 crosses NSW/ACT
New South Wales,Queanbeyan East,2620,2620 crosses NSW/ACT
New South Wales,Greenleigh,2620,2620 crosses NSW/ACT
New South Wales,The Ridgeway,2620,2620 crosses NSW/ACT
New South Wales,Bungendore,2621,2621
New South Wales,Carwoola,2620,2620 crosses NSW/ACT
New South Wales,Hoskinstown,2621,2621
New South Wales,Captains Flat,2623,2623
New South Wales,Burra (Palerang - NSW),2620,2620 crosses NSW/ACT
New South Wales,Michelago,2620,2620 crosses NSW/ACT
New South Wales,Mount Fairy,2580,2580
New South Wales,Mulloon,2622,2622
New South Wales,Royalla,2620,2620 crosses NSW/ACT
New South Wales,Primrose Valley,2621,2621
New South Wales,Tarago,2580,2580
New South Wales,Googong,2620,2620 crosses NSW/ACT
New South Wales,Wamboin,2620,2620 crosses NSW/ACT
New South Wales,Bywong,2621,2621
New South Wales,Jerrabomberra,2619,2619
New South Wales,Queanbeyan West,2620,2620 crosses NSW/ACT
New South Wales,Delegate,2633,2633
New South Wales,Bombala,2632,2632
New South Wales,Bungarby,2632,2632
New South Wales,Bibbenluke,2631,2631
New South Wales,Mila,2632,2632
New South Wales,Cooma (NSW),2630,2630
New South Wales,Polo Flat,2630,2630
New South Wales,Providence Portal,2629,2629
New South Wales,Kosciuszko National Park,2627,2627
New South Wales,Nimmitabel,2631,2631
New South Wales,Winifred,2631,2631
New South Wales,Rock Flat,2630,2630
New South Wales,Numeralla,2630,2630
New South Wales,Jerangle,2630,2630
New South Wales,Bunyan,2630,2630
New South Wales,Bredbo,2626,2626
New South Wales,Binjura,2630,2630
New South Wales,Adaminaby,2629,2629
New South Wales,Shannons Flat,2630,2630
New South Wales,Anglers Reach,2629,2629
New South Wales,Berridale,2628,2628
New South Wales,Kalkite,2627,2627
New South Wales,Jindabyne,2627,2627
New South Wales,Dalgety,2628,2628
New South Wales,Moonbah,2627,2627
New South Wales,Kosciuszko National Park,2625,2625
New South Wales,East Jindabyne,2627,2627
New South Wales,Catalina,2536,2536
New South Wales,Batemans Bay,2536,2536
New South Wales,Long Beach,2536,2536
New South Wales,North Batemans Bay,2536,2536
New South Wales,Surfside,2536,2536
New South Wales,Maloneys Beach,2536,2536
New South Wales,Lilli Pilli (Eurobodalla - NSW),2536,2536
New South Wales,Malua Bay,2536,2536
New South Wales,Surf Beach (NSW),2536,2536
New South Wales,Denhams Beach,2536,2536
New South Wales,Sunshine Bay,2536,2536
New South Wales,Rosedale (NSW),2536,2536
New South Wales,Batehaven,2536,2536
New South Wales,Unclassified (NSW),2536,2536
New South Wales,Bega,2550,2550
New South Wales,Tathra,2550,2550
New South Wales,Kalaru,2550,2550
New South Wales,Jellat Jellat,2550,2550
New South Wales,Wallagoot,2550,2550
New South Wales,Tarraganda,2550,2550
New South Wales,Mogareeka,2550,2550
New South Wales,Kanoona,2550,2550
New South Wales,Wolumla,2550,2550
